iter	RMSE
0	15.9922728
1	15.22827648
2	14.45465258
3	13.89191863
4	13.33271485
5	12.88176648
6	12.38433572
7	11.96303582
8	11.59732778
9	11.24827287
10	10.87859163
11	10.5588726
12	10.28587893
13	10.0482744
14	9.763829471
15	9.471110546
16	9.275481827
17	9.053160291
18	8.904212039
19	8.699758166
20	8.533599418
21	8.378929508
22	8.257661152
23	8.107795213
24	7.978364191
25	7.841086875
26	7.720328463
27	7.630735841
28	7.50703304
29	7.389248666
30	7.304443923
31	7.232966623
32	7.164705749
33	7.098033707
34	7.034970589
35	6.979019618
36	6.925322183
37	6.866650807
38	6.812277825
39	6.747209281
40	6.68905428
41	6.640222571
42	6.591276238
43	6.550106255
44	6.503248627
45	6.447542663
46	6.407943684
47	6.374583706
48	6.328827943
49	6.283693578
50	6.231610813
51	6.206121202
52	6.172095372
53	6.139259667
54	6.103613147
55	6.051774809
56	6.01829606
57	5.986487562
58	5.950098792
59	5.915211288
60	5.879408947
61	5.848290729
62	5.824402949
63	5.788337757
64	5.766710193
65	5.742574072
66	5.719798156
67	5.702459959
68	5.678811481
69	5.650023596
70	5.629236409
71	5.609307403
72	5.575482343
73	5.552453346
74	5.51736208
75	5.479874082
76	5.453483449
77	5.438372718
78	5.413632993
79	5.392818379
80	5.367044711
81	5.340596709
82	5.315444173
83	5.309292969
84	5.282358903
85	5.270870771
86	5.255627937
87	5.234375142
88	5.218859153
89	5.200070731
90	5.181400151
91	5.152143874
92	5.139078114
93	5.11790839
94	5.113708966
95	5.108331847
96	5.095962528
97	5.085386666
98	5.073313353
99	5.058350195
100	5.042332155
101	5.038684854
102	5.023016355
103	5.003359119
104	4.984972962
105	4.969554931
106	4.948856746
107	4.944517663
108	4.94215674
109	4.923340751
110	4.921050904
111	4.903135897
112	4.890584502
113	4.872831387
114	4.854860369
115	4.837911254
116	4.82097741
117	4.801967957
118	4.791338235
119	4.771883623
120	4.748894785
121	4.738528563
122	4.730666581
123	4.728611763
124	4.720865362
125	4.704919421
126	4.690814693
127	4.680789665
128	4.665619468
129	4.653834222
130	4.643951251
131	4.631295082
132	4.623108958
133	4.609205329
134	4.604991427
135	4.594112844
136	4.57865494
137	4.568854258
138	4.56612372
139	4.543449236
140	4.53158726
141	4.521475475
142	4.511916419
143	4.498981547
144	4.491067876
145	4.483546158
146	4.46794288
147	4.455165211
148	4.442844939
149	4.43943757
150	4.424834267
151	4.416956958
152	4.409067471
153	4.407066154
154	4.394654126
155	4.386406813
156	4.369066465
157	4.359395911
158	4.348951335
159	4.327488905
160	4.319337868
161	4.316647323
162	4.298780126
163	4.28472787
164	4.27621818
165	4.270535069
166	4.256409937
167	4.252101431
168	4.25083796
169	4.2397613
170	4.22931059
171	4.222460416
172	4.214111853
173	4.205419599
174	4.197294758
175	4.185441816
176	4.177202143
177	4.164870545
178	4.156313097
179	4.149671234
180	4.137482958
181	4.134841127
182	4.127412555
183	4.116105601
184	4.109665116
185	4.101115166
186	4.09514081
187	4.093993069
188	4.087542091
189	4.082062894
190	4.078275582
191	4.076763249
192	4.069327008
193	4.062248475
194	4.054325901
195	4.053000936
196	4.046636986
197	4.041009138
198	4.034973564
199	4.033846379
200	4.022015717
201	4.011964341
202	4.005432912
203	3.9994403
204	3.990920334
205	3.983157907
206	3.980852448
207	3.97756301
208	3.97264786
209	3.961655217
210	3.961047887
211	3.955360167
212	3.954545471
213	3.951318515
214	3.945253865
215	3.937854762
216	3.925583669
217	3.921234135
218	3.920773992
219	3.906211837
220	3.90028219
221	3.893133951
222	3.88717785
223	3.872982347
224	3.86800655
225	3.860980169
