iter	Passed	Remaining
0	2	13020
1	3	8012
2	3	6241
3	4	5759
4	5	5167
5	5	4758
6	6	4465
7	6	4240
8	7	4058
9	7	3923
10	8	3809
11	8	3703
12	9	3622
13	9	3544
14	10	3489
15	11	3439
16	11	3394
17	12	3360
18	12	3323
19	13	3290
20	13	3260
21	14	3233
22	14	3208
23	15	3217
24	16	3201
25	16	3181
26	17	3162
27	17	3141
28	18	3124
29	18	3111
30	19	3095
31	19	3081
32	20	3066
33	20	3060
34	21	3050
35	22	3039
36	22	3028
37	23	3019
38	23	3010
39	24	3001
40	24	2992
41	25	2983
42	25	2976
43	26	2973
44	26	2966
45	27	2954
46	27	2947
47	28	2942
48	29	2991
49	30	3005
50	30	3000
51	31	2993
52	32	2987
53	32	2981
54	33	2976
55	33	2972
56	34	2967
57	34	2962
58	35	2957
59	35	2952
60	36	2948
61	36	2944
62	37	2940
63	38	2935
64	38	2932
65	39	2928
66	39	2924
67	40	2918
68	40	2913
69	41	2909
70	41	2905
71	42	2900
72	42	2898
73	43	2894
74	44	2889
75	44	2886
76	45	2883
77	45	2880
78	46	2877
79	46	2874
80	47	2871
81	47	2868
82	48	2866
83	48	2864
84	49	2866
85	50	2864
86	50	2863
87	51	2861
88	51	2859
89	52	2855
90	52	2853
91	53	2851
92	54	2852
93	54	2852
94	55	2849
95	55	2847
96	56	2845
97	56	2841
98	57	2837
99	57	2835
100	58	2833
101	58	2831
102	59	2829
103	60	2826
104	60	2824
105	61	2822
106	61	2820
107	62	2819
108	62	2817
109	63	2816
110	63	2814
111	64	2812
112	64	2810
113	65	2808
114	66	2807
115	66	2803
116	67	2802
117	67	2802
118	68	2800
119	68	2800
120	69	2799
121	69	2798
122	70	2797
123	71	2795
124	71	2793
125	72	2791
126	72	2790
127	73	2788
128	73	2788
129	74	2786
130	74	2785
131	75	2784
132	76	2782
133	76	2781
134	77	2780
135	77	2779
136	78	2777
137	78	2778
138	79	2776
139	79	2775
140	80	2774
141	81	2775
142	81	2773
143	82	2772
144	82	2770
145	83	2770
146	83	2769
147	84	2768
148	84	2767
149	85	2770
150	86	2769
151	86	2768
152	87	2767
153	87	2766
154	88	2765
155	89	2764
156	89	2763
157	90	2763
158	90	2762
159	91	2761
160	91	2760
161	92	2759
162	92	2758
163	93	2757
164	94	2756
165	94	2755
166	95	2755
167	95	2754
168	96	2753
169	96	2752
170	97	2752
171	98	2751
172	98	2750
173	99	2749
174	99	2747
175	100	2745
176	100	2743
177	101	2742
178	101	2741
179	102	2739
180	102	2737
181	103	2736
182	103	2735
183	104	2733
184	104	2732
185	105	2731
186	106	2730
187	106	2728
188	107	2728
189	107	2726
190	108	2725
191	108	2726
192	109	2724
193	109	2723
194	110	2722
195	111	2721
196	111	2721
197	112	2720
198	112	2719
199	113	2718
200	113	2717
201	114	2716
202	114	2716
203	115	2715
204	116	2713
205	116	2712
206	117	2711
207	117	2710
208	118	2709
209	118	2708
210	119	2706
211	119	2705
212	120	2704
213	120	2703
214	121	2702
215	121	2701
216	122	2701
217	123	2700
218	123	2699
219	124	2699
220	124	2698
221	125	2698
222	125	2698
223	126	2697
224	127	2697
225	127	2696
226	128	2695
227	128	2695
228	129	2694
229	129	2693
230	130	2693
231	130	2691
232	131	2690
233	132	2690
234	132	2689
235	133	2688
236	133	2688
237	134	2687
238	134	2686
239	135	2685
240	135	2685
241	136	2684
242	137	2683
243	137	2682
244	138	2681
245	138	2680
246	139	2679
247	139	2678
248	140	2679
249	140	2678
250	141	2677
251	142	2677
252	142	2676
253	143	2675
254	143	2674
255	144	2673
256	144	2672
257	145	2671
258	145	2670
259	146	2670
260	147	2669
261	147	2668
262	148	2667
263	148	2667
264	149	2666
265	149	2666
266	150	2666
267	150	2665
268	151	2664
269	152	2663
270	152	2663
271	153	2661
272	153	2661
273	154	2661
274	154	2659
275	155	2659
276	155	2658
277	156	2657
278	156	2656
279	157	2655
280	158	2654
281	158	2653
282	159	2652
283	159	2651
284	160	2650
285	160	2649
286	161	2649
287	161	2648
288	162	2647
289	162	2645
290	163	2645
291	163	2643
292	164	2643
293	165	2642
294	165	2641
295	166	2640
296	166	2639
297	167	2639
298	167	2638
299	168	2637
300	168	2636
301	169	2635
302	169	2634
303	170	2633
304	171	2633
305	171	2632
306	172	2631
307	172	2630
308	173	2629
309	173	2629
310	174	2628
311	174	2627
312	175	2626
313	175	2625
314	176	2625
315	177	2624
316	177	2623
317	178	2622
318	178	2621
319	179	2621
320	179	2620
321	180	2619
322	180	2618
323	181	2617
324	181	2616
325	182	2616
326	183	2615
327	183	2614
328	184	2613
329	184	2612
330	185	2611
331	185	2611
332	186	2610
333	186	2609
334	187	2608
335	187	2607
336	188	2606
337	188	2606
338	189	2605
339	190	2604
340	190	2604
341	191	2603
342	191	2603
343	192	2602
344	192	2601
345	193	2600
346	193	2599
347	194	2599
348	194	2598
349	195	2597
350	196	2597
351	196	2596
352	197	2596
353	197	2595
354	198	2594
355	198	2594
356	199	2594
357	200	2593
358	200	2592
359	201	2592
360	201	2591
361	202	2590
362	202	2589
363	203	2589
364	203	2588
365	204	2593
366	205	2599
367	207	2612
368	208	2616
369	210	2629
370	211	2637
371	212	2641
372	213	2653
373	215	2666
374	216	2670
375	218	2683
376	219	2694
377	220	2693
378	220	2691
379	221	2692
380	222	2691
381	222	2690
382	223	2689
383	223	2688
384	224	2687
385	225	2691
386	226	2703
387	228	2711
388	229	2721
389	230	2727
390	231	2733
391	232	2732
392	233	2731
393	233	2730
394	234	2729
395	234	2728
396	235	2728
397	237	2743
398	238	2748
399	239	2750
400	239	2750
401	240	2752
402	242	2763
403	244	2776
404	244	2775
405	245	2773
406	245	2772
407	246	2771
408	246	2770
409	247	2769
410	247	2768
411	248	2767
412	249	2766
413	249	2764
414	250	2763
415	250	2762
416	251	2761
417	251	2760
418	252	2759
419	252	2758
420	253	2756
421	254	2755
422	254	2754
423	255	2753
424	255	2752
425	256	2751
426	256	2750
427	257	2749
428	257	2748
429	258	2746
430	258	2744
431	259	2743
432	260	2742
433	260	2741
434	261	2740
435	261	2739
436	262	2737
437	262	2736
438	263	2735
439	263	2734
440	264	2733
441	264	2732
442	265	2731
443	266	2730
444	266	2729
445	267	2728
446	267	2727
447	268	2725
448	268	2724
449	269	2723
450	269	2722
451	270	2721
452	271	2720
453	271	2719
454	272	2718
455	272	2717
456	273	2716
457	273	2715
458	274	2714
459	274	2713
460	275	2712
461	276	2711
462	276	2710
463	277	2709
464	277	2708
465	278	2707
466	278	2706
467	279	2705
468	279	2704
469	280	2702
470	280	2701
471	281	2700
472	282	2699
473	282	2698
474	283	2697
475	283	2696
476	284	2695
477	284	2694
478	285	2693
479	285	2692
480	286	2691
481	287	2690
482	287	2689
483	288	2688
484	288	2687
485	289	2686
486	289	2685
487	290	2684
488	290	2682
489	291	2681
490	291	2681
491	292	2680
492	293	2679
493	293	2678
494	294	2677
495	294	2676
496	295	2675
497	295	2674
498	296	2672
499	296	2671
500	297	2670
501	297	2669
502	298	2668
503	299	2667
504	299	2667
505	300	2666
506	300	2665
507	301	2664
508	301	2663
509	302	2662
510	302	2661
511	303	2660
512	304	2659
513	304	2658
514	305	2658
515	305	2656
516	306	2655
517	306	2654
518	307	2653
519	307	2652
520	308	2652
521	309	2651
522	309	2650
523	310	2649
524	310	2647
525	311	2647
526	311	2645
527	312	2644
528	312	2644
529	313	2643
530	313	2642
531	314	2641
532	315	2640
533	315	2639
534	316	2638
535	316	2637
536	317	2636
537	317	2635
538	318	2634
539	318	2633
540	319	2633
541	320	2632
542	320	2631
543	321	2630
544	321	2629
545	322	2628
546	322	2627
547	323	2626
548	323	2625
549	324	2624
550	324	2623
551	325	2622
552	325	2621
553	326	2620
554	327	2619
555	327	2618
556	328	2617
557	328	2616
558	329	2617
559	330	2616
560	330	2615
561	331	2614
562	331	2613
563	332	2612
564	332	2611
565	333	2610
566	333	2609
567	334	2608
568	334	2607
569	335	2607
570	336	2606
571	336	2605
572	337	2604
573	337	2603
574	338	2602
575	338	2601
576	339	2600
577	339	2599
578	340	2599
579	340	2598
580	341	2597
581	342	2596
582	342	2595
583	343	2595
584	343	2594
585	344	2593
586	344	2592
587	345	2591
588	345	2590
589	346	2590
590	347	2589
591	347	2588
592	348	2587
593	348	2586
594	349	2585
595	349	2584
596	350	2583
597	350	2582
598	351	2581
599	351	2580
600	352	2580
601	353	2579
602	353	2578
603	354	2577
604	354	2576
605	355	2575
606	355	2574
607	356	2573
608	356	2572
609	357	2572
610	357	2571
611	358	2570
612	359	2569
613	359	2568
614	360	2567
615	360	2566
616	361	2565
617	361	2565
618	362	2564
619	362	2563
620	363	2562
621	363	2561
622	364	2560
623	365	2559
624	365	2559
625	366	2558
626	366	2557
627	367	2556
628	367	2555
629	368	2554
630	368	2554
631	369	2553
632	369	2552
633	370	2551
634	371	2550
635	371	2549
636	372	2549
637	372	2548
638	373	2547
639	373	2546
640	374	2545
641	374	2544
642	375	2543
643	375	2542
644	376	2541
645	376	2540
646	377	2539
647	377	2538
648	378	2537
649	379	2536
650	379	2535
651	380	2535
652	380	2534
653	381	2533
654	381	2532
655	382	2531
656	382	2530
657	383	2529
658	383	2528
659	384	2527
660	385	2527
661	385	2526
662	386	2525
663	386	2525
664	387	2524
665	387	2523
666	388	2522
667	388	2521
668	389	2520
669	389	2520
670	390	2519
671	391	2518
672	391	2517
673	392	2516
674	392	2516
675	393	2515
676	393	2514
677	394	2513
678	394	2512
679	395	2512
680	395	2511
681	396	2510
682	397	2509
683	397	2509
684	398	2508
685	398	2507
686	399	2507
687	399	2506
688	400	2505
689	401	2505
690	401	2504
691	402	2503
692	402	2502
693	403	2501
694	403	2501
695	404	2500
696	405	2501
697	405	2500
698	406	2499
699	406	2499
700	407	2498
701	407	2497
702	408	2496
703	409	2495
704	409	2495
705	410	2494
706	410	2493
707	411	2492
708	411	2491
709	412	2491
710	412	2490
711	413	2489
712	413	2488
713	414	2488
714	415	2487
715	415	2486
716	416	2485
717	416	2485
718	417	2484
719	417	2483
720	418	2483
721	418	2482
722	419	2481
723	420	2480
724	420	2480
725	421	2479
726	421	2478
727	422	2478
728	422	2477
729	423	2476
730	423	2475
731	424	2474
732	424	2473
733	425	2473
734	426	2472
735	426	2471
736	427	2471
737	427	2470
738	428	2470
739	428	2469
740	429	2468
741	430	2467
742	430	2466
743	431	2466
744	431	2465
745	432	2464
746	432	2463
747	433	2463
748	433	2462
749	434	2461
750	434	2460
751	435	2460
752	436	2460
753	436	2459
754	437	2458
755	437	2457
756	438	2456
757	438	2456
758	439	2455
759	440	2454
760	440	2454
761	441	2453
762	441	2452
763	442	2451
764	442	2451
765	443	2450
766	443	2449
767	444	2449
768	444	2448
769	445	2447
770	446	2446
771	446	2446
772	447	2445
773	447	2444
774	448	2443
775	448	2442
776	449	2442
777	449	2441
778	450	2440
779	451	2440
780	451	2440
781	452	2440
782	453	2442
783	454	2441
784	454	2440
785	455	2440
786	455	2439
787	456	2439
788	456	2438
789	457	2437
790	458	2437
791	458	2436
792	459	2435
793	459	2435
794	460	2434
795	460	2433
796	461	2432
797	461	2432
798	462	2431
799	464	2436
800	465	2441
801	466	2443
802	467	2443
803	469	2448
804	470	2452
805	471	2451
806	471	2451
807	473	2454
808	473	2454
809	474	2455
810	475	2454
811	475	2454
812	476	2453
813	476	2452
814	477	2451
815	478	2450
816	478	2450
817	479	2450
818	479	2449
819	480	2448
820	481	2449
821	481	2449
822	482	2448
823	483	2447
824	483	2447
825	484	2446
826	484	2445
827	485	2444
828	485	2443
829	486	2442
830	486	2442
831	487	2441
832	487	2440
833	488	2439
834	488	2439
835	489	2438
836	490	2437
837	490	2437
838	491	2436
839	491	2435
840	492	2434
841	492	2434
842	493	2433
843	494	2433
844	494	2433
845	495	2433
846	496	2432
847	496	2432
848	497	2431
849	497	2430
850	498	2429
851	498	2428
852	499	2428
853	499	2427
854	500	2426
855	501	2425
856	501	2424
857	502	2424
858	502	2423
859	503	2423
860	504	2423
861	504	2422
862	505	2423
863	506	2422
864	506	2421
865	507	2421
866	507	2420
867	508	2419
868	508	2418
869	509	2418
870	509	2417
871	510	2416
872	511	2415
873	511	2415
874	512	2414
875	512	2413
876	513	2412
877	513	2411
878	514	2410
879	514	2410
880	515	2409
881	515	2408
882	516	2407
883	516	2407
884	517	2406
885	518	2405
886	518	2404
887	519	2404
888	519	2403
889	520	2402
890	520	2401
891	521	2401
892	521	2400
893	522	2399
894	523	2399
895	523	2398
896	524	2397
897	524	2396
898	525	2395
899	525	2395
900	526	2394
901	526	2393
902	527	2392
903	527	2392
904	528	2391
905	529	2390
906	529	2389
907	530	2388
908	530	2388
909	531	2387
910	531	2386
911	532	2386
912	532	2385
913	533	2384
914	533	2383
915	534	2383
916	535	2382
917	535	2381
918	536	2380
919	536	2380
920	537	2379
921	537	2378
922	538	2377
923	538	2377
924	539	2376
925	539	2375
926	540	2374
927	541	2374
928	541	2373
929	542	2372
930	542	2372
931	543	2371
932	543	2370
933	544	2369
934	544	2368
935	545	2368
936	545	2367
